Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID119,119,0,2.390,377.369,361.630,0,0,0,11,1,17.615,None,None,None,None,None,None,None,None,None,-10921639,17.615,0,0,149,7275,30.350,41.800,0.450,0.360
ID115,115,0,14.172,376.292,367.477,0,1,1,11,1,82.852,None,None,None,None,None,None,None,None,None,-10921639,82.852,86,0,149,34218,58.124,17.914,0.772,1.242
ID125,125,0,17.666,382.830,367.414,0,2,2,11,1,106.245,None,None,None,None,None,None,None,None,None,-10921639,106.245,149,0,149,43879,53.937,19.338,0.781,1.728
