Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID37,37,0,5.043,377.013,367.357,0,1,1,11,1,33.659,None,None,None,None,None,None,None,None,None,-10921639,33.659,11,0,149,13901,43.087,28.473,0.587,0.578
ID44,44,0,6.823,384.073,366.731,0,2,2,11,1,47.683,None,None,None,None,None,None,None,None,None,-10921639,47.683,32,0,149,19693,49.775,23.346,0.589,0.710
